images,labels
./Identify/images/train\Japan_008294.jpg,"['2 0.3408333333333334 0.7116666666666667 0.19833333333333333 0.1366666666666667\n', '2 0.23 0.9158333333333334 0.16666666666666669 0.16166666666666668\n', '0 0.3816666666666667 0.6191666666666668 0.04666666666666667 0.085\n', '1 0.7391666666666667 0.8166666666666668 0.315 0.06666666666666667\n']"
./Identify/images/train\Japan_008297.jpg,['0 0.19333333333333336 0.4608333333333334 0.08666666666666667 0.07500000000000001\n']
./Identify/images/train\Japan_008300.jpg,['0 0.3816666666666667 0.6883333333333334 0.17 0.06333333333333334\n']
./Identify/images/train\Japan_008301.jpg,"['2 0.4466666666666667 0.8725 0.52 0.23833333333333334\n', '3 0.9341666666666667 0.6466666666666667 0.055 0.023333333333333334\n']"
./Identify/images/train\Japan_008307.jpg,['2 0.3375 0.8308333333333334 0.25833333333333336 0.3116666666666667\n']
./Identify/images/train\Japan_008308.jpg,"['0 0.9216666666666667 0.9475 0.13333333333333333 0.085\n', '0 0.16833333333333333 0.8733333333333334 0.060000000000000005 0.11\n', '0 0.5458333333333334 0.9316666666666668 0.06166666666666667 0.1366666666666667\n']"
./Identify/images/train\Japan_008310.jpg,"['3 0.5033333333333334 0.7833333333333334 0.06333333333333334 0.03666666666666667\n', '2 0.4658333333333334 0.8075000000000001 0.9283333333333333 0.3816666666666667\n']"
./Identify/images/train\Japan_008312.jpg,['0 0.36833333333333335 0.8875000000000001 0.13 0.22166666666666668\n']
./Identify/images/train\Japan_008313.jpg,"['2 0.34750000000000003 0.6966666666666667 0.43500000000000005 0.3166666666666667\n', '3 0.4991666666666667 0.7133333333333334 0.04833333333333334 0.03666666666666667\n']"
./Identify/images/train\Japan_008316.jpg,"['2 0.8391666666666667 0.46 0.3216666666666667 0.48000000000000004\n', '2 0.33333333333333337 0.47250000000000003 0.5066666666666667 0.5116666666666667\n']"
./Identify/images/train\Japan_008319.jpg,"['1 0.67 0.8025000000000001 0.6466666666666667 0.11833333333333335\n', '0 0.029166666666666667 0.9308333333333334 0.055 0.10500000000000001\n']"
./Identify/images/train\Japan_008321.jpg,['2 0.48000000000000004 0.9391666666666667 0.12666666666666668 0.055\n']
./Identify/images/train\Japan_008323.jpg,"['1 0.9225000000000001 0.67 0.13166666666666668 0.03333333333333333\n', '2 0.33666666666666667 0.785 0.4666666666666667 0.38\n']"
./Identify/images/train\Japan_008324.jpg,['2 0.4041666666666667 0.8125 0.7416666666666667 0.36833333333333335\n']
./Identify/images/train\Japan_008328.jpg,['2 0.18666666666666668 0.6416666666666667 0.35333333333333333 0.5933333333333334\n']
./Identify/images/train\Japan_008332.jpg,['1 0.4491666666666667 0.5991666666666667 0.5316666666666667 0.045000000000000005\n']
./Identify/images/train\Japan_008333.jpg,['2 0.5008333333333334 0.7941666666666667 0.9983333333333334 0.4116666666666667\n']
./Identify/images/train\Japan_008337.jpg,"['0 0.405 0.4991666666666667 0.18000000000000002 0.525\n', '1 0.26833333333333337 0.3825 0.2366666666666667 0.058333333333333334\n', '0 0.8316666666666667 0.4766666666666667 0.16333333333333333 0.41000000000000003\n']"
./Identify/images/train\Japan_008341.jpg,['1 0.8658333333333333 0.9091666666666667 0.26833333333333337 0.045000000000000005\n']
./Identify/images/train\Japan_008345.jpg,"['1 0.6291666666666667 0.915 0.18833333333333335 0.02666666666666667\n', '1 0.64 0.9708333333333334 0.19666666666666668 0.028333333333333335\n', '1 0.19 0.9408333333333334 0.13333333333333333 0.04833333333333334\n']"
./Identify/images/train\Japan_008347.jpg,"['0 0.4008333333333334 0.6916666666666668 0.04166666666666667 0.10333333333333335\n', '1 0.5266666666666667 0.775 0.3766666666666667 0.05333333333333334\n', '1 0.8516666666666667 0.7716666666666667 0.1 0.043333333333333335\n']"
./Identify/images/train\Japan_008353.jpg,['0 0.5833333333333334 0.8091666666666667 0.36333333333333334 0.27166666666666667\n']
./Identify/images/train\Japan_008355.jpg,['2 0.5991666666666667 0.7458333333333333 0.6950000000000001 0.48500000000000004\n']
./Identify/images/train\Japan_008362.jpg,"['0 0.13333333333333333 0.7966666666666667 0.2366666666666667 0.18666666666666668\n', '0 0.5266666666666667 0.6541666666666667 0.10333333333333335 0.16833333333333333\n']"
./Identify/images/train\Japan_008366.jpg,['2 0.29833333333333334 0.8608333333333333 0.32333333333333336 0.10166666666666667\n']
./Identify/images/train\Japan_008369.jpg,['2 0.535 0.8166666666666668 0.92 0.3666666666666667\n']
./Identify/images/train\Japan_008371.jpg,['2 0.6125 0.6808333333333334 0.11166666666666668 0.16833333333333333\n']
./Identify/images/train\Japan_008373.jpg,"['2 0.4241666666666667 0.8033333333333333 0.8250000000000001 0.39333333333333337\n', '2 0.4675 0.5258333333333334 0.12833333333333335 0.08166666666666667\n']"
./Identify/images/train\Japan_008375.jpg,"['2 0.51 0.8058333333333334 0.89 0.28500000000000003\n', '1 0.060000000000000005 0.8208333333333334 0.11666666666666667 0.025\n']"
./Identify/images/train\Japan_008378.jpg,"['2 0.32583333333333336 0.7966666666666667 0.21500000000000002 0.26333333333333336\n', '1 0.6108333333333333 0.8991666666666667 0.36833333333333335 0.035\n', '1 0.7108333333333334 0.7075 0.095 0.025\n', '1 0.7433333333333334 0.6758333333333334 0.12000000000000001 0.028333333333333335\n']"
./Identify/images/train\Japan_008380.jpg,"['2 0.2675 0.3075 0.465 0.4083333333333334\n', '0 0.7725000000000001 0.3866666666666667 0.20833333333333334 0.4733333333333334\n', '1 0.9133333333333334 0.445 0.17 0.04666666666666667\n', '1 0.9233333333333333 0.6425000000000001 0.15333333333333335 0.09833333333333334\n']"
./Identify/images/train\Japan_008381.jpg,['2 0.7816666666666667 0.7083333333333334 0.4366666666666667 0.52\n']
./Identify/images/train\Japan_008382.jpg,"['1 0.305 0.7133333333333334 0.46 0.07\n', '1 0.67 0.6791666666666667 0.22666666666666668 0.06166666666666667\n', '1 0.7366666666666667 0.7483333333333334 0.36000000000000004 0.060000000000000005\n']"
./Identify/images/train\Japan_008389.jpg,['0 0.7858333333333334 0.27666666666666667 0.10833333333333334 0.05666666666666667\n']
./Identify/images/train\Japan_008395.jpg,['0 0.8025000000000001 0.8366666666666667 0.19833333333333333 0.2066666666666667\n']
./Identify/images/train\Japan_008398.jpg,['2 0.8133333333333334 0.40750000000000003 0.21333333333333335 0.20500000000000002\n']
./Identify/images/train\Japan_008399.jpg,"['0 0.8158333333333334 0.5375000000000001 0.275 0.3116666666666667\n', '0 0.8966666666666667 0.8475 0.06666666666666667 0.29500000000000004\n']"
./Identify/images/train\Japan_008404.jpg,"['2 0.4591666666666667 0.8183333333333334 0.8250000000000001 0.36333333333333334\n', '3 0.3666666666666667 0.6558333333333334 0.02666666666666667 0.03166666666666667\n', '3 0.32 0.6958333333333334 0.030000000000000002 0.028333333333333335\n']"
./Identify/images/train\Japan_008418.jpg,"['0 0.48833333333333334 0.8233333333333334 0.10333333333333335 0.35333333333333333\n', '2 0.7591666666666668 0.7616666666666667 0.4816666666666667 0.4766666666666667\n', '0 0.4516666666666667 0.5525 0.02666666666666667 0.055\n']"
./Identify/images/train\Japan_008425.jpg,"['2 0.5691666666666667 0.7716666666666667 0.4316666666666667 0.45\n', '3 0.4416666666666667 0.5950000000000001 0.060000000000000005 0.09333333333333334\n', '1 0.26833333333333337 0.7725000000000001 0.2733333333333334 0.045000000000000005\n', '1 0.8991666666666667 0.8066666666666668 0.18833333333333335 0.060000000000000005\n', '3 0.8008333333333334 0.9741666666666667 0.06833333333333334 0.04833333333333334\n']"
./Identify/images/train\Japan_008426.jpg,['2 0.6916666666666668 0.8350000000000001 0.31 0.2966666666666667\n']
./Identify/images/train\Japan_008433.jpg,"['2 0.17 0.6091666666666667 0.23 0.27166666666666667\n', '2 0.21416666666666667 0.8916666666666667 0.36500000000000005 0.21666666666666667\n', '3 0.12416666666666668 0.6791666666666667 0.085 0.09833333333333334\n', '0 0.8341666666666667 0.8200000000000001 0.325 0.33333333333333337\n']"
./Identify/images/train\Japan_008435.jpg,"['0 0.39666666666666667 0.7416666666666667 0.17 0.2\n', '1 0.14750000000000002 0.7400000000000001 0.26833333333333337 0.04666666666666667\n', '2 0.5741666666666667 0.8416666666666667 0.2783333333333334 0.10666666666666667\n', '0 0.8775000000000001 0.9616666666666668 0.055 0.07666666666666667\n']"
./Identify/images/train\Japan_008439.jpg,['3 0.8 0.5916666666666667 0.05666666666666667 0.04666666666666667\n']
./Identify/images/train\Japan_008440.jpg,"['2 0.20750000000000002 0.7100000000000001 0.29833333333333334 0.14\n', '1 0.9025000000000001 0.7808333333333334 0.18833333333333335 0.058333333333333334\n']"
./Identify/images/train\Japan_008441.jpg,"['2 0.6958333333333334 0.8241666666666667 0.20833333333333334 0.16166666666666668\n', '1 0.29083333333333333 0.9491666666666667 0.4083333333333334 0.07500000000000001\n']"
./Identify/images/train\Japan_008444.jpg,"['2 0.2866666666666667 0.8908333333333334 0.18333333333333335 0.17500000000000002\n', '1 0.7916666666666667 0.7758333333333334 0.2566666666666667 0.03833333333333334\n', '2 0.6633333333333333 0.8391666666666667 0.33 0.30833333333333335\n']"
./Identify/images/train\Japan_008446.jpg,"['0 0.08666666666666667 0.9341666666666667 0.15000000000000002 0.13166666666666668\n', '0 0.665 0.6383333333333334 0.06333333333333334 0.07\n']"
./Identify/images/train\Japan_008447.jpg,['2 0.5133333333333334 0.8125 0.9066666666666667 0.35500000000000004\n']
./Identify/images/train\Japan_008450.jpg,['2 0.6841666666666667 0.8341666666666667 0.6316666666666667 0.33166666666666667\n']
./Identify/images/train\Japan_008451.jpg,['0 0.5441666666666667 0.8458333333333334 0.13166666666666668 0.05166666666666667\n']
./Identify/images/train\Japan_008452.jpg,"['2 0.7250000000000001 0.7991666666666667 0.55 0.3816666666666667\n', '0 0.26 0.8125 0.2066666666666667 0.35833333333333334\n']"
./Identify/images/train\Japan_008460.jpg,['2 0.6591666666666667 0.7975000000000001 0.2316666666666667 0.2016666666666667\n']
./Identify/images/train\Japan_008463.jpg,"['2 0.645 0.8158333333333334 0.6733333333333333 0.36833333333333335\n', '3 0.75 0.7166666666666667 0.11666666666666667 0.023333333333333334\n']"
./Identify/images/train\Japan_008464.jpg,['0 0.41250000000000003 0.7733333333333334 0.065 0.4066666666666667\n']
./Identify/images/train\Japan_008471.jpg,"['3 0.39666666666666667 0.6516666666666667 0.08666666666666667 0.05\n', '3 0.465 0.5800000000000001 0.08 0.04\n']"
./Identify/images/train\Japan_008478.jpg,['2 0.5008333333333334 0.785 0.9983333333333334 0.4266666666666667\n']
./Identify/images/train\Japan_008493.jpg,"['2 0.2625 0.7716666666666667 0.5216666666666667 0.39333333333333337\n', '2 0.8033333333333333 0.7183333333333334 0.3666666666666667 0.15666666666666668\n']"
./Identify/images/train\Japan_008495.jpg,"['2 0.8091666666666667 0.7891666666666667 0.3816666666666667 0.41833333333333333\n', '3 0.7775000000000001 0.7841666666666667 0.165 0.065\n', '3 0.9741666666666667 0.7533333333333334 0.03166666666666667 0.04\n', '3 0.9700000000000001 0.8941666666666668 0.05 0.07500000000000001\n', '1 0.3791666666666667 0.6225 0.14166666666666666 0.028333333333333335\n', '2 0.7933333333333333 0.5291666666666667 0.13333333333333333 0.085\n']"
./Identify/images/train\Japan_008497.jpg,['0 0.61 0.7433333333333334 0.06666666666666667 0.09000000000000001\n']
./Identify/images/train\Japan_008498.jpg,['1 0.6733333333333333 0.7191666666666667 0.22 0.05166666666666667\n']
./Identify/images/train\Japan_008509.jpg,"['2 0.2712962962962963 0.5601851851851852 0.5203703703703704 0.7648148148148148\n', '1 0.925 0.2175925925925926 0.15 0.03518518518518519\n', '1 0.8740740740740741 0.16203703703703703 0.20740740740740743 0.031481481481481485\n', '1 0.7342592592592593 0.4277777777777778 0.2574074074074074 0.044444444444444446\n', '1 0.7324074074074074 0.8407407407407408 0.5203703703703704 0.10370370370370371\n']"
./Identify/images/train\Japan_008514.jpg,"['3 0.51220703125 0.1376953125 0.1181640625 0.111328125\n', '0 0.595703125 0.09716796875 0.091796875 0.1337890625\n']"
./Identify/images/train\Japan_008516.jpg,"['2 0.4566666666666667 0.7541666666666668 0.2566666666666667 0.26833333333333337\n', '1 0.3216666666666667 0.7041666666666667 0.1 0.018333333333333333\n']"
./Identify/images/train\Japan_008521.jpg,['2 0.26083333333333336 0.5216666666666667 0.49833333333333335 0.65\n']
./Identify/images/train\Japan_008523.jpg,"['0 0.25333333333333335 0.5666666666666667 0.12333333333333334 0.25\n', '2 0.8666666666666667 0.5900000000000001 0.24000000000000002 0.3466666666666667\n', '0 0.34500000000000003 0.2516666666666667 0.07666666666666667 0.11666666666666667\n', '1 0.7100000000000001 0.19666666666666668 0.09333333333333334 0.043333333333333335\n', '1 0.43000000000000005 0.24666666666666667 0.14333333333333334 0.03666666666666667\n']"
./Identify/images/train\Japan_008525.jpg,"['3 0.305 0.7475 0.03666666666666667 0.028333333333333335\n', '2 0.7633333333333334 0.8208333333333334 0.45333333333333337 0.35833333333333334\n', '2 0.255 0.6775 0.17333333333333334 0.2016666666666667\n']"
./Identify/images/train\Japan_008528.jpg,['0 0.21583333333333335 0.8258333333333334 0.305 0.21166666666666667\n']
./Identify/images/train\Japan_008530.jpg,['1 0.6108333333333333 0.26916666666666667 0.17500000000000002 0.05166666666666667\n']
./Identify/images/train\Japan_008532.jpg,['1 0.13833333333333334 0.6775 0.16333333333333333 0.03166666666666667\n']
./Identify/images/train\Japan_008545.jpg,"['2 0.8400000000000001 0.8158333333333334 0.3166666666666667 0.255\n', '2 0.43833333333333335 0.8291666666666667 0.2833333333333333 0.275\n']"
./Identify/images/train\Japan_008546.jpg,"['2 0.5716666666666667 0.8533333333333334 0.8366666666666667 0.29333333333333333\n', '3 0.5233333333333333 0.8975000000000001 0.06666666666666667 0.03166666666666667\n']"
./Identify/images/train\Japan_008547.jpg,"['2 0.29750000000000004 0.5475 0.5516666666666667 0.655\n', '2 0.8691666666666668 0.5125000000000001 0.26166666666666666 0.49500000000000005\n']"
./Identify/images/train\Japan_008549.jpg,"['3 0.315 0.9475 0.14 0.10500000000000001\n', '3 0.3975 0.8550000000000001 0.15166666666666667 0.06666666666666667\n']"
./Identify/images/train\Japan_008553.jpg,['2 0.4 0.8316666666666667 0.4666666666666667 0.3166666666666667\n']
./Identify/images/train\Japan_008559.jpg,"['3 0.15666666666666668 0.6483333333333334 0.05666666666666667 0.02666666666666667\n', '3 0.08416666666666667 0.6491666666666667 0.03833333333333334 0.025\n', '2 0.7075 0.635 0.5850000000000001 0.14\n', '2 0.1691666666666667 0.5925 0.335 0.08833333333333333\n', '1 0.8425 0.8666666666666667 0.315 0.04666666666666667\n']"
./Identify/images/train\Japan_008572.jpg,['2 0.6991666666666667 0.7866666666666667 0.4816666666666667 0.4266666666666667\n']
./Identify/images/train\Japan_008577.jpg,['2 0.7058333333333334 0.6991666666666667 0.08833333333333333 0.058333333333333334\n']
./Identify/images/train\Japan_008581.jpg,"['0 0.09333333333333334 0.8566666666666667 0.12000000000000001 0.20333333333333334\n', '1 0.195 0.9475 0.3666666666666667 0.04833333333333334\n', '1 0.4266666666666667 0.5991666666666667 0.11333333333333334 0.03166666666666667\n', '1 0.6175 0.7375 0.255 0.018333333333333333\n', '1 0.34833333333333333 0.6916666666666668 0.34 0.03333333333333333\n', '0 0.6216666666666667 0.7575000000000001 0.05 0.14166666666666666\n']"
./Identify/images/train\Japan_008583.jpg,"['0 0.5333333333333333 0.7575000000000001 0.04666666666666667 0.06833333333333334\n', '0 0.5225000000000001 0.6950000000000001 0.025 0.043333333333333335\n']"
./Identify/images/train\Japan_008586.jpg,"['3 0.19 0.9108333333333334 0.13 0.07166666666666667\n', '2 0.4633333333333334 0.8733333333333334 0.7833333333333334 0.24666666666666667\n']"
./Identify/images/train\Japan_008588.jpg,['2 0.21166666666666667 0.8500000000000001 0.33333333333333337 0.2966666666666667\n']
./Identify/images/train\Japan_008590.jpg,"['2 0.29083333333333333 0.8741666666666668 0.14166666666666666 0.24500000000000002\n', '2 0.6041666666666667 0.9058333333333334 0.2316666666666667 0.15166666666666667\n', '2 0.9308333333333334 0.9266666666666667 0.13833333333333334 0.05\n', '2 0.7016666666666667 0.7608333333333334 0.15000000000000002 0.14166666666666666\n', '2 0.445 0.67 0.2366666666666667 0.13333333333333333\n']"
./Identify/images/train\Japan_008593.jpg,['3 0.06833333333333334 0.9541666666666667 0.08333333333333334 0.03833333333333334\n']
./Identify/images/train\Japan_008597.jpg,"['2 0.5225000000000001 0.9025000000000001 0.3216666666666667 0.17833333333333334\n', '2 0.125 0.8816666666666667 0.2 0.18333333333333335\n']"
./Identify/images/train\Japan_008601.jpg,['2 0.4341666666666667 0.7283333333333334 0.525 0.2966666666666667\n']
./Identify/images/train\Japan_008606.jpg,"['0 0.6683333333333333 0.32666666666666666 0.09000000000000001 0.09333333333333334\n', '1 0.3375 0.32666666666666666 0.22166666666666668 0.030000000000000002\n']"
./Identify/images/train\Japan_008607.jpg,['2 0.8041666666666667 0.8375 0.35500000000000004 0.2916666666666667\n']
./Identify/images/train\Japan_008609.jpg,"['2 0.19166666666666668 0.6941666666666667 0.32666666666666666 0.28833333333333333\n', '2 0.335 0.4733333333333334 0.10333333333333335 0.08333333333333334\n']"
./Identify/images/train\Japan_008614.jpg,"['3 0.3791666666666667 0.8383333333333334 0.025 0.03666666666666667\n', '3 0.8391666666666667 0.8208333333333334 0.115 0.06833333333333334\n', '2 0.2833333333333333 0.7425 0.19666666666666668 0.11833333333333335\n']"
./Identify/images/train\Japan_008617.jpg,['0 0.5375000000000001 0.7041666666666667 0.06166666666666667 0.165\n']
./Identify/images/train\Japan_008618.jpg,['2 0.8808333333333334 0.6633333333333333 0.23500000000000001 0.3566666666666667\n']
./Identify/images/train\Japan_008629.jpg,"['0 0.2675 0.9008333333333334 0.09833333333333334 0.19833333333333333\n', '0 0.915 0.9066666666666667 0.1366666666666667 0.17333333333333334\n']"
./Identify/images/train\Japan_008631.jpg,"['0 0.5133333333333334 0.43333333333333335 0.03666666666666667 0.06333333333333334\n', '0 0.5541666666666667 0.5233333333333333 0.03166666666666667 0.07\n']"
./Identify/images/train\Japan_008635.jpg,['2 0.2575 0.8016666666666667 0.265 0.3566666666666667\n']
./Identify/images/train\Japan_008642.jpg,"['0 0.4491666666666667 0.7875000000000001 0.14833333333333334 0.135\n', '1 0.8433333333333334 0.8075000000000001 0.30333333333333334 0.14166666666666666\n', '1 0.5325000000000001 0.6833333333333333 0.2316666666666667 0.1\n']"
./Identify/images/train\Japan_008650.jpg,['2 0.5133333333333334 0.8108333333333334 0.9733333333333334 0.37833333333333335\n']
./Identify/images/train\Japan_008652.jpg,['0 0.745 0.9275000000000001 0.19 0.13833333333333334\n']
./Identify/images/train\Japan_008653.jpg,"['0 0.47250000000000003 0.6050000000000001 0.10833333333333334 0.08666666666666667\n', '0 0.375 0.5666666666666667 0.13333333333333333 0.14\n']"
./Identify/images/train\Japan_008656.jpg,['2 0.7316666666666667 0.8041666666666667 0.24666666666666667 0.1716666666666667\n']
./Identify/images/train\Japan_008661.jpg,"['0 0.3975 0.5908333333333333 0.095 0.19166666666666668\n', '0 0.7391666666666667 0.6566666666666667 0.4683333333333334 0.48333333333333334\n', '1 0.14333333333333334 0.6000000000000001 0.15666666666666668 0.04\n']"
./Identify/images/train\Japan_008665.jpg,"['2 0.6351851851851852 0.7601851851851852 0.7296296296296296 0.46481481481481485\n', '1 0.9555555555555556 0.18425925925925926 0.08888888888888889 0.031481481481481485\n']"
./Identify/images/train\Japan_008667.jpg,"['2 0.6575000000000001 0.905 0.685 0.18333333333333335\n', '0 0.37833333333333335 0.745 0.04666666666666667 0.18666666666666668\n']"
./Identify/images/train\Japan_008672.jpg,"['1 0.1366666666666667 0.6708333333333334 0.20333333333333334 0.03166666666666667\n', '0 0.5183333333333333 0.655 0.13 0.10666666666666667\n']"
./Identify/images/train\Japan_008673.jpg,"['0 0.8958333333333334 0.8091666666666667 0.19166666666666668 0.3516666666666667\n', '2 0.8958333333333334 0.8091666666666667 0.19166666666666668 0.3516666666666667\n']"
./Identify/images/train\Japan_008674.jpg,"['1 0.5391666666666667 0.7591666666666668 0.395 0.065\n', '0 0.8375 0.8891666666666668 0.21500000000000002 0.22166666666666668\n', '0 0.6458333333333334 0.6591666666666667 0.19166666666666668 0.2316666666666667\n']"
./Identify/images/train\Japan_008675.jpg,['0 0.050833333333333335 0.7733333333333334 0.09166666666666667 0.1\n']
./Identify/images/train\Japan_008677.jpg,"['1 0.7975000000000001 0.8175 0.385 0.09833333333333334\n', '1 0.8750000000000001 0.6266666666666667 0.25 0.060000000000000005\n', '0 0.8975000000000001 0.7266666666666667 0.20500000000000002 0.21333333333333335\n']"
./Identify/images/train\Japan_008682.jpg,"['0 0.18250000000000002 0.9608333333333334 0.06833333333333334 0.07833333333333334\n', '1 0.5233333333333333 0.6733333333333333 0.4666666666666667 0.10333333333333335\n', '1 0.10500000000000001 0.8491666666666667 0.15000000000000002 0.04166666666666667\n']"
./Identify/images/train\Japan_008684.jpg,"['2 0.49250000000000005 0.6116666666666667 0.4216666666666667 0.11333333333333334\n', '2 0.5358333333333334 0.8750000000000001 0.8683333333333334 0.21666666666666667\n']"
./Identify/images/train\Japan_008688.jpg,['2 0.7425 0.8 0.515 0.38333333333333336\n']
./Identify/images/train\Japan_008690.jpg,"['3 0.2177734375 0.06396484375 0.142578125 0.0517578125\n', '3 0.34912109375 0.05126953125 0.0830078125 0.0302734375\n', '3 0.48095703125 0.38037109375 0.5341796875 0.1767578125\n']"
./Identify/images/train\Japan_008691.jpg,"['2 0.6483333333333334 0.5975 0.27 0.14166666666666666\n', '1 0.7458333333333333 0.7941666666666667 0.2516666666666667 0.05166666666666667\n', '1 0.6616666666666667 0.6933333333333334 0.16666666666666669 0.030000000000000002\n', '1 0.8241666666666667 0.9258333333333334 0.26166666666666666 0.04166666666666667\n', '1 0.9500000000000001 0.8641666666666667 0.09333333333333334 0.021666666666666667\n', '1 0.9583333333333334 0.6775 0.07666666666666667 0.018333333333333333\n']"
./Identify/images/train\Japan_008697.jpg,['2 0.6841666666666667 0.8191666666666667 0.5750000000000001 0.315\n']
./Identify/images/train\Japan_008698.jpg,"['3 0.525 0.9533333333333334 0.09000000000000001 0.060000000000000005\n', '3 0.42250000000000004 0.7875000000000001 0.045000000000000005 0.045000000000000005\n', '2 0.6641666666666667 0.8641666666666667 0.6716666666666667 0.27166666666666667\n']"
./Identify/images/train\Japan_008720.jpg,"['2 0.25 0.36000000000000004 0.36333333333333334 0.49000000000000005\n', '2 0.7691666666666667 0.5158333333333334 0.46166666666666667 0.545\n']"
./Identify/images/train\Japan_008725.jpg,"['0 0.46 0.885 0.07666666666666667 0.19\n', '1 0.5291666666666667 0.8416666666666667 0.10833333333333334 0.04\n']"
./Identify/images/train\Japan_008726.jpg,"['1 0.6666666666666667 0.8125 0.6633333333333333 0.08166666666666667\n', '0 0.8158333333333334 0.9133333333333334 0.095 0.17333333333333334\n', '1 0.5583333333333333 0.635 0.2733333333333334 0.05333333333333334\n']"
./Identify/images/train\Japan_008734.jpg,"['3 0.51904296875 0.38037109375 0.1689453125 0.0947265625\n', '3 0.25439453125 0.333984375 0.0908203125 0.0625\n', '2 0.51171875 0.62890625 0.9765625 0.58203125\n', '2 0.14404296875 0.169921875 0.2763671875 0.203125\n']"
./Identify/images/train\Japan_008737.jpg,['0 0.635 0.7741666666666667 0.1 0.385\n']
./Identify/images/train\Japan_008745.jpg,"['2 0.5683333333333334 0.8708333333333333 0.29333333333333333 0.24833333333333335\n', '1 0.76 0.8166666666666668 0.11333333333333334 0.030000000000000002\n', '1 0.9158333333333334 0.8758333333333334 0.135 0.035\n', '1 0.7816666666666667 0.7733333333333334 0.1 0.02\n']"
./Identify/images/train\Japan_008748.jpg,"['2 0.8516666666666667 0.7966666666666667 0.26333333333333336 0.12333333333333334\n', '1 0.895 0.7958333333333334 0.21000000000000002 0.045000000000000005\n']"
./Identify/images/train\Japan_008755.jpg,"['2 0.6516666666666667 0.9191666666666667 0.23333333333333334 0.15833333333333335\n', '1 0.8550000000000001 0.65 0.2566666666666667 0.043333333333333335\n', '1 0.4575 0.8700000000000001 0.18833333333333335 0.023333333333333334\n', '1 0.4541666666666667 0.7241666666666667 0.10500000000000001 0.018333333333333333\n', '1 0.09416666666666668 0.7183333333333334 0.15166666666666667 0.03333333333333333\n']"
./Identify/images/train\Japan_008756.jpg,['2 0.7883333333333333 0.795 0.41000000000000003 0.41000000000000003\n']
./Identify/images/train\Japan_008759.jpg,"['2 0.8433333333333334 0.9108333333333334 0.2966666666666667 0.16833333333333333\n', '1 0.5566666666666668 0.8591666666666667 0.30333333333333334 0.04833333333333334\n']"
./Identify/images/train\Japan_008763.jpg,['0 0.5866666666666667 0.8358333333333334 0.07666666666666667 0.11833333333333335\n']
./Identify/images/train\Japan_008765.jpg,"['2 0.3075 0.8508333333333334 0.5016666666666667 0.29833333333333334\n', '0 0.6708333333333334 0.9225000000000001 0.125 0.12833333333333335\n']"
./Identify/images/train\Japan_008766.jpg,"['3 0.5091666666666667 0.8075000000000001 0.085 0.06166666666666667\n', '1 0.24500000000000002 0.7975000000000001 0.45333333333333337 0.095\n']"
./Identify/images/train\Japan_008767.jpg,"['1 0.685 0.9333333333333333 0.6066666666666667 0.05\n', '1 0.8716666666666667 0.7033333333333334 0.24000000000000002 0.04\n', '1 0.6566666666666667 0.7283333333333334 0.2 0.05\n', '0 0.8916666666666667 0.8508333333333334 0.18333333333333335 0.15833333333333335\n']"
./Identify/images/train\Japan_008769.jpg,"['2 0.5891666666666667 0.9308333333333334 0.24166666666666667 0.13833333333333334\n', '2 0.5125000000000001 0.6458333333333334 0.195 0.06833333333333334\n', '2 0.4666666666666667 0.7391666666666667 0.23 0.115\n']"
./Identify/images/train\Japan_008770.jpg,['0 0.48250000000000004 0.8450000000000001 0.16166666666666668 0.2866666666666667\n']
./Identify/images/train\Japan_008771.jpg,"['1 0.26166666666666666 0.9058333333333334 0.4566666666666667 0.065\n', '1 0.5 0.6025 0.15000000000000002 0.04833333333333334\n', '1 0.4841666666666667 0.48750000000000004 0.21833333333333335 0.035\n']"
./Identify/images/train\Japan_008774.jpg,"['0 0.535 0.4991666666666667 0.02666666666666667 0.06833333333333334\n', '2 0.7591666666666668 0.9116666666666667 0.22166666666666668 0.12666666666666668\n', '2 0.4666666666666667 0.7008333333333334 0.26 0.09166666666666667\n', '0 0.07500000000000001 0.7483333333333334 0.14666666666666667 0.11\n', '1 0.8983333333333334 0.6866666666666668 0.20333333333333334 0.09333333333333334\n']"
./Identify/images/train\Japan_008782.jpg,"['2 0.2325 0.7816666666666667 0.2316666666666667 0.09333333333333334\n', '2 0.29333333333333333 0.6308333333333334 0.09666666666666668 0.07166666666666667\n', '2 0.6266666666666667 0.7741666666666667 0.53 0.4516666666666667\n']"
./Identify/images/train\Japan_008791.jpg,['2 0.5183333333333333 0.805 0.26333333333333336 0.39\n']
./Identify/images/train\Japan_008795.jpg,"['1 0.3566666666666667 0.8425 0.4066666666666667 0.05166666666666667\n', '1 0.30083333333333334 0.6625000000000001 0.2816666666666667 0.04833333333333334\n']"
./Identify/images/train\Japan_008797.jpg,"['2 0.18000000000000002 0.66 0.15000000000000002 0.12000000000000001\n', '2 0.3383333333333334 0.5591666666666667 0.11 0.115\n']"
./Identify/images/train\Japan_008799.jpg,['2 0.2 0.8516666666666667 0.39666666666666667 0.2966666666666667\n']
./Identify/images/train\Japan_008802.jpg,['0 0.35750000000000004 0.7666666666666667 0.065 0.2966666666666667\n']
